NAZWA_1;NAZWA_2
Trójpolowa;
Zastruże;
Kieślowskiego;Krzysztofa
Hipotezy;
Kleszczowa;
Dolniańska;
Hrabska;
Irgowa;
Mrówki;
Kralczyńskiego;Kazimierza
Smoczka;
Lonczaka;Ludwika
Mulawy;ks.
Gęsiówka;
Michalina;
Pintala;
Bajaka;Karola
Ługowa Boczna;
Hernicha;dr. Kazimierza
Górka Mała;
Małki;
Zwolaki;
Szewcy;
Wołoszyny;
Suchelaski;
Rudawskiego;A.
Okołowiczówka;
Schody Zamkowe;
Brandwicka;
Stryjewskiego;Mieczysława
Wybrzeże;
Koper;Stanisławy
Posanie;
Dziubińskiego;Mariana
Kusińskiego;kpt. Marcina
Grębowska;
Kochany;
Słowińska;
Pod Chałupkami;
Pyrza;Wójta Michała
Granickiego;ks. Jana
Kroczki;Jana
Rogozów;
Węgrzynowicza;Juliana
Lewakowskiego;Karola
Skołozdro;Zofii
Rakowiec;
Admiralicji;
Rzeźbiarzy;
Kaprów;
Drukarzy;
Nafciarzy;
Plastyków;
Bojerowców;
Starocińska;
Mennonitów;
Do Morza;
Baryki;Piotra
Drzeżdżona;
Barkasowa;
Jaśkowa Polana;
Bogusława;
Judyckiego;
Szystowskiego;kmdr. E.
Rumska;
Morsztyna;Zbigniewa
Bukowy Las;
Lubiatowska;
Kartoszyńska;
Pieniężna;
Ofiar Piaśnicy;
Dambków;Księży
Mechowska;
Rysowa;
Nad Gizdepką;
Kuli;Leopolda Lisa
Viscardiego;Stanisława
Szkarpowa;
Sapeckiego;ks. Pawła
Zarzeki;
Pilipca;ks. Michała
Borsuk;
Głowy;Krzysztofa
Lubomirskiej;Księżnej Urszuli
Dańczaka;Andrzeja Bolesława
Podstawskiego;płk. Piotra
Kębłowska;
Kisewa;
Mazurów;
Nogatowa;
Żołnierzy;
Teleexpressu;
Dunina;Piotra
Sieniawska;
Gisgesa;Jana Marii
Pętla;
Rondo;
Legutki;Wiktora
Gozdowa;
Hompescha;Ferdynanda
Bieliniecka;
Mokradło;
Rędziny;
Podbór;
Okońskiego;ks.
Koczwary;płk. Józefa
Koczocika;Kazimierza
Misiągiewicza;
Bursztyna;Władysława
Macha;Wilhelma
Bartkówka;
Igioza;
Jakubowicka;
Przedborowska;
Jaklów;
Larymowicza;ks.
Darochy;Jakuba
Deca;płk.
Szymonkowska;
Budkowska;
Poznowicka;
Haraszowskie;
Zdzieszowicka;
Leśnicka;
Błotnicka;
Ciemińska;
Jancy;Bogdana
Nad Widawą;
Chmielowicka;
Glogego;Józefa
Kokota;prof. Józefa
Minkusa;Krystiana
Algebraiczna;
Mnożna;
Zaułek Kłodzki;
Kraska;
Kalno;
Jasionówka;
Chorążycha;
Sidrzańska;
Lewoniewskich;Lotników
Podgaj;
Olendry;
Rydzewskiego;Jana
Wistuć;
Mogilna;
Platonoffa;ppłk. Stefana
Muszelkowa;
Klebby;
Sławoszyńska;
Karłowicka;
Góra św. Anny;
Ulianówka;
Jarosława;bp.
Merkert;Marii
Pawlik;Wandy
Bacieczki;
Białówny;dr Ireny
Dojnowska;
Kominek;
Tobiasza;
Wrzosy;
Zgody I;
Zgody II;
Reknicka;
Stołowa;
Kościelniaka;Mieczysława
Nad Słupią;
Przy Sadzie;
Heyke;L.
Supłatowicza;Stanisława
Karugi;Wincentego
Mieczysława I;
Złotogłowicka;
Cisiecka;
Miraszewskiego;
Habas;
Rzędowicka;
Dębogórska;
Wiżańska;
Kolonia Raczki;
Balukiewicza;ks. Witolda
Dobkowska;
Wądołkowska;
Antoniukowska;
Biebrzańska;
Branickich;
Fenikowskiego;Franciszka
Nowodzielska;
Malmeda;Icchoka
Warłowska;
Małorolna;
Śmiałków;
Nad Doliną;
Paulinki;
Ligendzy;Bernarda
Wędryńska;
Las;
Kiczmachów;
Przy Wiatraku;
Kuby;
Sianowska;
Przy Rzeźni;
Sulika;gen. Nikodema
Trofimowska;
Lewickiego;Kazimierza
Zusenkowska;
Grodzieńskiego;Jerzego
Grodziskowa;
Drobiarzy;
Węgleszyńska;
Wiela;
Księży Las;
Dźwińska;
Trubadurów;
Wapiennicza;
Widlińska;
Władysławowska;
Zawodników;
Tomczaka;Ryszarda
Lipuska;
Kolbudzka;
Waldorffa;Jerzego
Łupaszko;mjr.
Wąsika;Józefa
Barzychowskiej;Erwiny
Kielasa;Jana
Robaka;Księdza
Benisławskiego;
Filipowska;
Rospuda;
Katowska;
Szlaszyńskiego;Konstantego
Brykowska;
Dojlidzka;
Dziekońskiej;Jadwigi
Czernickiego;kadm. X.
Kozarzewskiego;Jerzego
Mańki;Konrada
Figla;
Koszwicka;
Osiedle Dęby;
Bażantarska;
Białostoczek;
Dziesięciny;
Kadłubowa;
Trapowa;
Uphagena;Jana
Wąsowicza;Stanisława
Węsierska;
Wielkie Młyny;
Wyciąg;
Ariadny;
Szczodra;
Flisykowskiego;Alfonsa
Kanapariusza;Jana
Amona;
Andaluzyjska;
Półwysep;
Mystkowska;
Uszyńska;
Jaroszówka;
Tezeusza;
Westy;
Wiesława;
Więcierze;
Karpowicza;Aleksandra
Żabianka;
Nad Motławą;
Stenwał;
Armatorów;
Atlasa;
Boisko;
Demela;prof.
Denhoffa;Gerarda
Dickmana;Arendta
Kadmowa;
Mrongowiusza;Krzysztofa
Nowowiczlińska;
Do Leśniczówki;
Wrzeszczańska;
Za Murami;
Zagroble;
Zaroślak;
Złota Karczma;
Święcińska;
Brunona;
Kożyczkowska;
Łapalicka;
Gowida;
Lammka;Aleksandra
Sambora II;
Na Szlaku;
Starowiejskich;
Borutkowy Las;
Do Kapliczki;
Lekacz;
Radzikowicka;
Kroszyńska;
Radziechowska;
Na Bąki;
Łysika;ks. Gustawa
Stobrówki;
Studnitza;
Pod Rosochami;
Szerokowidze;
Ramlejska;
Jejmościny;
Szejwy;
Pasieki;
Przecznia;
Czerwonka;
Dzierży;
Wystrzycka;
Kuźnia;
Leśniki;
Labora;Leopolda
Pieloka;Jana
Arnsberska;
Jendrzejczyka;Księdza Hugo
Kiki;
Obłąki;
Wydzieracz;
Wygodzka;
Pod Rozterkiem;
Stanisławka;
Grzędzickiego;Bernarda
Szotowskiego;ks. Józefa
Smołdzińska;
Techlinka;
Na Rokitki;
Trakt Słupski;
Zapałowskiego;ks.
Odsole;
Wiszowatego;Andrzeja
Czarnej Hańczy;
Hałki;Stanisława
Volty;Aleksandra
Wełniarska;
Wieżycka;
Włóczników;
Wodopój;
Akteona;
Wolarza;
Hausbrandta;prof. Stefana
Szynszylowa;
Ledy;
Plejady;
Kłoczkowskiego;Wacława
Gabrysiak;Aleksandry
Herosa;
Chwaszczyńska;
Hipokratesa;
Białorogi;
Bielickiego;kpt. Stanisława
Gołdapska;
Krzywólka;
Lutostańskiego;Tadeusza
Miastecka;
Stobnicka;
Wieża Wodna;
Chocińska;
Goedtke;Isaaka Gottfryda
Tyborskiej;Wandy
Zacerkiewna;
Żarniewicza;Władysława
Cudro;
Elewatorska;
Przekopka;
Wiktorowo;
Podchoinki;
Małomiejska;
Poddolna;
Rakowieckiego;dr. Tadeusza
Centura;
Grudkowska;
Polecha;gen. Brygady Pilota Michała
Dobrowodzka;
Steczkowskiego;płk. Stanisława
Małopłocka;
Kupiska;
Czartoryjska;
Jedwabieńska;
Chińskiej Róży;
Złotego Smoka;
Barwnicza;
Berneńska;
Busolowa;
Lotaryńska;
Łukiska;
Męcińska;
Zapałczana;
Linneusza;Karola
Młota;Jana
Bombardierów;
Fizyków;
Gontarska;
Haubicy;
Instruktorska;
Szafarzy;
Jasówka;
Boleść;
Foksal;
Brodackiego;Walentego
Grabiny;
Janochów;St. i Wł.
Zawiśle;
Dubiela;ks. Stefana
Mroczki;
Marynkowska;
Turków;
Kosznickiego;Jana
Swarożyńska;
Słomińskiego;Zygmunta
Borzymowska;
Chyrowska;
Dalanowska;
Fausta;
Irminy;
Janinówka;
Lewicpolska;
Lewinowska;
Naczelnikowska;
Określona;
Pospieszna;
Samarytanka;
Siedzibna;
Sterdyńska;
Tykocińska;
Bieńczaka;Władysława
Cierlicka;
Koronacyjna;
Ochocka;
Rakietników;
Śmigielska;
Bekasów;
Białej Wody;
Botaniczny;
Czempińska;
Elegijna;
Skowronek;
Folwarkowa;
Do Boru;
Nad Wilkówką;
Barteczka;Franciszka
Bobka;Pawła
Łyska;Jana
Matusiaka;Klemensa
Nad Olzą;
Zamczyska;
Tarnowieckiej;
Wrotnowska;
Chyły;
Ciemny Kąt;
Karnaty;
Dulina;Aleksandra
Geskiego;Kaspra
Jana z Tarnowa;
Kasztelana;kpt. A.
Kaszubski;
Mokwy;Mariana
Zapowiedzka;
Gubrynowicza;
Szumielewiczów;Braci
Siedmiu Źródeł;
Wachowska;
Wronczyńska;
Dragona;Franciszka
Stara Chudoba;
Sobczaka;Kaprala Mariana
Poniszowicka;
Szczyrkowska;
Nad Białką;
Rogacz;
Rynkowy;
Grabnik;
Forysiewicza;ks. Jakuba
Nitki;Kazimierza
Pelczara;bp. Józefa
Tycznera;
Gieli;Feliksa
Grodka;
Kłodno;
Tredera;Franciszka
Zadurskiego;Leona
Pomieczyńska;
Rokitki;
Do Raju;
Pułanek;
Zblewska;
Białachowska;
Górny Podmur;
Stangenberga;Huberta
Latawca;por. Michała
Kozły;
Fedorowskiego;
35-lecia;
Ziarny;
Piaski I;
Samolewicza;Jana
Hajduk;Anny
Kramarczyka;Karola
Wilczaka;Romualda
Drozdowska;
Stalowska;
Krasickich;
Kuziory;
Ludian;
Radeczyna;
Zadole;
Podorenda;
Godkówka;
Przekopna;
Koczeli;Jana
Fantazja;
Solinka;
Bieszczada;Seweryna
Nad Badoniem;
Zręcińska;
Moskale;
Zaonie;
Knieja;
Kaczyłów;
Piskorowy Staw;
Wł. Jagiełły;
Niżańska;
Zybury;Bronisława
Śliżyńskiego;
Stopy;ks. Franciszka
Zagumna;
Nadwisłocze;
Olza;
Za Grodziskiem;
Chudzyńskiego;Bronisława
Sochy;
Kochana;Bronisława
Krochowa;
Grądkowa;
Podkorzeniec;
Przyszowska;
Komana;Dionizego
Szenklera;por. Waltera
Dąbalska;
Bourdon;Marii
Frysztackiego;Mikołaja
Przecławczyka;
Tałasiewicza;Zygmunta
Średniówka;
Grochowiaki;
Osetka;ks. Adama
Szpetnara;ks. Stanisława
Czuchry;Józefa
Mirandoli Pika;
Chodźki;Ignacego
Grenada;
Hausera;Leopolda
Herburtów;
Grabieńskich;
Blajera;ks. Wojciecha
Tepera;
Szczepanie;
Kadyi;Henryka
Krównicka;
Łętowska;
Na Zawadach;
Przekopana;
Wiśniowskiego;Teofila
Bilana;Włodzimierza
Baldachówka;
Chmaja;prof. Ludwika
Gniewowska;
Zbychowska;
Walslebena;Teodora
Brudzewskiego;Wojciecha
Dworskiego;Aleksandra
Dolny Podmur;
Kursikowskiego;ks.
Piaski II;
Dymnickich;Braci
Schodki;
Piętniewicza;Józefa
Bergmana;Stanisława
Jeleniówka;
Lenarta;Jana
Magurów;Jana i Stanisława
Nad Lubatówką;
Tebicha;Piotra
Szuby;Mariana
Krukierka;Jędrzeja
Droga Hurecka;
Duplaka;Jana
Pieski Świat;
Debrza;
Guzikówka;
Prządki;
Pomira;
Za Dworcem;
Plac Papieski;
Narkowska;
Motławska;
Migały;
Łęgowskiego;Józefa
Skibniewskiej;Dżenet
Sabata;
Trepczyka;Jana
Krofeya;Szymona
Latarników;
Kremera;Józefa
Osińskich;Michała i Kazimierza
Szańce;
Nadbrzeże Redy;
Nanicka;
Śmiechowska;
Na Gajówce;
Nad Chełstem;
Jagalskiego;Doktora
Pławo;
Swoły;
Sołtysa;por. Stanisława
Jasna Polana;
Gduli;Wł.
Firanki;
Glinów;
Szypowskiego;Jana
Balów;
Podgłębokie;
Bursaki;
Ślączka;
Mięsowicza;Michała
Kramarza;Waleriana
Nestora;
Popielów;
Heykego;ks. Leona
Fanfarowa;
Popiele;
Antypodów;
Tuchomska;
Karlikowska;
Warcisława I;
Bahdaja;Adama
Mała Młyńska;
Narloch;Rozalii
Wesoła Dolina;
Pachów;
Unii Brzeskiej;
Lenika;Andrzeja
Wisze;
Kazanowska;
Kokosza;
Kruhelska;
Krzywiecka;
Lipowicka;
Kielińskiego;Franciszka
Wieckiego;Jana
Charwatyńska;
Na Rozdrożu;
Żaczka;Franciszka
Prusewska;
Czarna Góra;
Wielewskiego;ks.
Kłanińska;
Szemrowicka;
Rogaczewskiego;Feliksa
Szczukowskiej;Otylii
Głodnica;
Rotty;ks. Józefa
Miotka;Feliksa
Roppla;Leona
Chmieleniecka;
Nad Zatoką;
Karwasza;Jana
Rzucewska;
Bądkowskiego;Lecha
Gulgowskiego;Izydora
Patoka;Jana
Pruszkowskiego;płk. Kazimierza
Kowalewskiego;Fr.
Błędnik;
Wiesiondry;
Glinne Pole;
Szafirkowa;
Szosa Słupska;
Chomnica;
Sławieńska;
Głuszyńska;
Aleja Różana;
Trzy Gracki;
Celbowska;
Na Wydmie;
Kruszka;
Widzińska;
Tartak;
Bzionkowska;
Torki;
Siwe Osiedle;
Borowiańska;
Regat;
Bielowcowa;
Golska;
Broniecka;
Kierocie;
Dziubek;
Pod Kowalami;
Smolnicka;
Nogowczycka;
Srocza Góra;
Przybyłowska;
Nowokrzepice;
Bujecka;
Chrząstowicka;
Pyskowicka;
Pławniowicka;
Na Buczek;
Szprynek;
Ogońska;
Gorzelniana;
Kryzana;dr. Stanisława
Lange;Heleny
Nierzwickiego;Franciszka
Radziejewska;
Bosa;
Za Jeziorem;
Putynkowskiego;
Kleparska;
Oracze;
Wilkowicka;
Paczyńska;
Jeżmanów;
Metlera;ks. Bonawentury
Posadówka;
Górnik;
Widawa;
Krzewiny;ks. Zbigniewa
Wilczyńskiej;Gertrudy
Ziemana;
Łyśniewska;
Chłapowska;
Za Stawem;
Darżyńska;
Sworowskiego;ppor. Stanisława
Mieleckiego;Andrzeja
Pampucha;Piotra
Borysławska;
Matei;prof. Oswalda
Śluza Wróblin;
Blichowa;
Boczna Sanowa;
Cygańska Góra;
Dolnoleżajska;
Drużyniecka;
Matusza;Burmistrza Jerzego
Koniaczowska;
Krajowicka;
Na Kotlinę;
Staniuków;Braci
Ustecka;
Kraziewicza;Juliusza
Świerzyńskiego;Adama
Blicharska;
Ruczki;ks. Ludwika
Żytkowskiego;prof.
Rządzkiego;Józefa
Nad Nilem;
Gołdasza;ks.
Czarnowska;
Czernicka;
Nagietków;
60-lecia;
Ormińskiego;ks. Henryka
Słupia;
Mirachowska;
Na Glinach;
Siemiana;
Słodkie Rowy;
Stolemów;
Browarnik;
Ptasznik;
Kotłowskiego;Jana
Waśkowskiego;Romana
Struka;Augustyna
Olęckiego;ks. Bazylego
Szornaka;Franciszka
Rebelki;Ryszarda
Za Rzeką;
Szteklińska;
Godźka;Pawła
Piontka;Józefa
Gruby;Jana
Robakowska;
Wielki Las;
Miotk;Pawła
Waraksy;Jana
Machalewskiego;Księdza
Brazylia;
Westphala;Augustyna
Schornaka;Franciszka
Kocborowska;
Lubichowska;
Schwabe;dr. Jana
Kęcki Las;
Wręczycka;
Kalejska;
Drzewiarza;
Kopanińska;
Stacja;
Łaszewskiego;ks. bp. Michała
Pańskie Pola;
Rytwiny;
Na Skowronek;
Żabie Miasto;
Zielony Dworek;
Dargolewska;
Lubowiedzkiego;ppłk. Ryszarda
Ciepłucha;Feliksa
Milenium;
Hajduka;Feliksa
Kubisza;Jana
Wyższa Brama;
Milaty;Alojzego
Beskidek;
Kreta;Józefa
Błogocka;
Gawlasa;Jana
Górny Chodnik;
Motokrosowa;
Olszaka;Wacława
Baranowa;
Jelenica;
Kotschego;ks. Karola
Nad Bładnicą;
Przetnica;
Skoczowska;
Gościradowiec;
Chałupiańska;
Głębce;
Równe;
Sadowy;
Soszowska;
Uścieńków;
Blocków;ks.
Strzebielińska;
Lewińskiego;Stefana
Łączny Dół;
Hebla;Pawła
Równica;
Wysznia;
Kojzara;ks. Ludwika
Katowicka II;
Biała Wisełka;
Jarzębata;
Kozińce;
Na Groń;
Pod Beskidek;
Skolnity;
Malinczanów;
Madzi;Józefa
Snowaniec;
Stawieńce;
Świniorka;
Węgierski;
Nad Wodospadem;
Bucze;
Sojka;
Dębowiecka;
Do Lasku;
Grabecznik;
Kiedronia;inż. Józefa
Śrutarska;
Miłosiernych;Braci
Dyboskiego;Romana
Bładnicka;
Błaszczyka;Jana
Cieszyńskie;
Kuracyjny;
Turocha;Alberta
Przetoczyńska;
Bojańska;
Jelonek;
Nagla;Alojzego
Hrabstwo;
Szersznika;Leopolda Jana
Szybińskiego;Władysława
Trzanowskiego;ks. Jerzego
Sarkandra;Świętego Jana
Grodzieckiego;św. Melchiora
Kajzara;Helmuta
Bernadka;
Kluczyków;
Lipowczana;Pawła
Tataraki;
Letników;
Holma;
Bojana;Majora
Strzelanka;
Dębowa Karczma;
Bieszke;Ferdynanda
Sarnia Góra;
Smażyńska;
Czarna Dąbrowa;
Gęsia Krzywda;
Turkowa;
Rudowska;
Szarotka;
Świeżego;ks. Ignacego
Zamarska;
Raszki;Jana
Lipowska;
Bajcary;
Bielanów;
Bucznik;
Czarne;
Gościejów;
Kobyla;
Kopydło;
Koszarzyska;
Mrózków;
Niemca;Jerzego
Noclegi;
Ochorowicza;Juliana
Stryczków;
Wańkowska;
Wątrobne;
Zdejszy;
Chrobaczy;
Jatny;
Krzywonek;
Stary Groń;
Tłoczki;
Żory;
Miklera;ks. Erwina
Kruszyńskiego;Mariana
Otalżyńska;
Myśliwski Dwór;
Marchowska;
Bożańska;
Łebińskich;
Kwidzińskiego;Emila
Albeckiego;Antoniego
Kiczerowska;
Barujec;
Kotarz;
Czyściec;
Bagielnica;
Łebińska;
Łekno;
Nowa Karczma;
Psale;
Nad Zagórzanką;
Żarnowiec;
Branców;
Do Potoku;
Fiedorowska;
Nowina;
Pod Kozińce;
Tokarnia;
Błatnia;
Gazowników;
Klimorówka;
Kormany;
Pościenny;
Juroszka;ks. Rudolfa
Kisiały;dr.
Żurówka;
Miczów;
Herstówki;
Na Podłazie;
Uberfelta;Kacpra
Kustusza;Franciszka
Kopaniewska;
Czeczewska;
Kawle;
Kalkszteina;
Altanki;
Bakończycka;
Bełwińska;
Dubiecka;
Frankowskiego;Ignacego
Sójkowa;
Groth;Antoniego
Króleka;Franciszka
Miłocińska;
Niedzielskiego;Romana
Podpromie;
Tarniowa;
Spadziowa;
Naglikowe Pole;
Bestwińska;
Do Panienki;
Nadszkolna;
Bucewicza;Nestora
Czarny Chodnik;
Pod Zebrzydkę;
Kretowskie;
Ochabska;
Targoniny;
Ogrodzka;
Strzelbin;
Nowalijek;
Mnisza;
Krzepty;
Machnica;
Wrześniowa;
Rzecha;
Jaklińskiej;Józefy
Betańskiego;ks. bpa Antoniego
Na Jaworzu;
Stanio;Władysława
Nowowierzbowa;
Staroniwska;
Wetlińska;
Załęska;
Karpa;Karola
Karoliny;bł.
Niemaszków;Józefa i Romana
Gliwy;Stanisława
Pasterczyka;ks. Andrzeja
Karlińska;
Klin;
Piecki;
Pszczelne Łąki;
Stalowników;
Surowa;
Wierczki;
Włodowska;
Zaparkowa;
Piec;
Górny Rynek;
Młyńska Brama;
Motelowa;
Przykopa;
Śniegonia;bp. Franciszka
Hażlaska;
Centrum;
Grażyńskiego;dr. Michała
Harbutowicka;
Palenica;
Sztwiertni;Jana
Wantuły;Jana
Lipkowa;
Migłówko;
Kulisza;ks. Karola
Pod Chełmem;
Pikulicka;
Waygarta;Walerego
Jałowego;ks. Józefa
Kamienny Most;
Sobińskiego;Stanisława
Tarnawskiego;Leonarda
Władycze;
Podhalańczyków;
Balistyczna;
Bożnicza;
Kopisto;mjr. Wacława
Ofiar Getta;
Nad Przyrwą;
Pleśniarowicza;Jerzego
Strzyżowska;
Tetmajerów;
Wytrwałych;
Matuszczaka;Adama
Słocińska;
Wiadukt Śląski;
Most Zamkowy;
Furtaka;Stanisława
Wallis;Zofii
Ziemiańskiego;Jana
Mrzygłodzka;
Nowe Zawiercie;
Pejzaż;
Kieleńska;
Okuniewo;
Brzozówko;
Na Zagajnik;
Tejchow;
Żabianki;
Labudy;Aleksandra
Maszyna;
Szenkowana;
Cylkowskiego;Lucjana
Zamostna;
Nad Jazem;
Rogowskiego;Pawła
Sędziszowska;
Pobitno;
Michlewskiej;Stefanii
Niedziochy;Mariana
Chłapowskich;Anny i Zygmunta
Stączka;ks. Jana
Lepsza;
Podkądzielowa;
Ręby;
Skarżycka;
Szczygłów;
Marianka;
Różane;
Arkońska;
Bartka;
Biologiczna;
Brzeźnieńska;
Chlebnicka;
Długi Targ;
Dzwonki;
Wilczańska;
Alsa;Roderyka
Brydaka;kpt. Edwarda
Delikatna;
Fircowskiego;
Na Skały;
Niepokonanych;
Nazimka;Eugeniusza
Most Lwowski;
Wąsacza;Jana
Wieczna;
Okiennik;
Na Wałach;
Woprowska;
Cienciały;Jerzego
Hławiczki;Karola
Nikła;
Pikiety;
Skrzypka;Ludwika
Węgielna;
Kargera;Wiktora
Madeckiego;Oswalda
Lipowski Groń;
Cieślarów;
Hoffa;Bogumiła
Kędziorowska;
Księżycowy;
Mały Stożek;
Rastoki;
Wróblonki;
Goczowska;
Markówka;
Na Kępkę;
Nostrożny;
Łączka;
Szpotawicka;
Żerdki;Franciszka
Zawala;
Pod Dudnią;
Samlowiec;
Pod Cierniem;
Ławki;
Hanasiewicza;
Śmiałych;
Zbyszewskiego;Wiktora
Zimowit;
Most Karpacki;
Sulikowskiego;ks. Daniela
Kobaka;ks. Jana
Tarnowskiej;hr. Wandy
Kreczmera;Henryka Jakuba
Borów;
Kromołowska;
Lepeckiego;Mieczysława
Łośnicka;
Rączki;Stanisława
Smużna;
Suliny;
Wajzlera;ks. Bolesława
Wypaliska;
Zajazdy;
Zaporowska;
Skowronki;
Nadbiebrzańska;
Norkusa;Simonasa
Młodych Orłów;
Jędruszuka;ks. bp. Władysława
Kapliczysko;
Bućko;Marii
Różanostocka;
Roski Małe;
Kaczorowskiego;ks. Kazimierza
Kozarska;
Pawlicka;
Patyry;Stanisława
Przyzamcze;
Bażyńskiego;Jana
de Gaulle'a;gen.
Aptekarzy;
Marynarzy;
Cisewo;
Maszopów;
Ropczycka;
Świadka;Witolda
Most Załęski;
Podgórskiego;ks. Adama
Marciszowska;
Stary Las;
Poligon;
Czyżykowska;
Portowców;
Grimm;Braci
Hundsdorfa;ks. Zygmunta
Gniewska;
Darowana;
Kochanki;
Korytybska;
Przejezdna;
Boroszewska;
Święta Góra;
Markowicka;
Żyły;Władysława
Przybyszów;
Głazówka;
Blocka;ks. Józefa
Polne;
Bory;
Trójkąt;
Morusy;
Skałkowa;
Grochowiecka;
Lelowska;
Przy Młynie;
Zajezdna;
Spólnik;
Kleszczowska;
Woszczycka;
Na Grabówki;
Gamowska;
Fraszka;
Andrutowa;
Metryczna;
Ponczowa;
Ptysiowa;
Rotmistrzowska;
Dostatnia;
Starodawna;
Kazachska;
Bakalarska;
Flagowa;
Galaktyki;
Krakowiaków;
Leżajska;
Minutowa;
Perlonowa;
Popas;
Redaktorska;
Scholastyków;
Żaluzji;
Hipolitowo;
Załuski;
Boguszewska;
Burakowska;
Krępowieckiego;Tadeusza
Ringelbluma;Emanuela
Blachówka;
Stefania;
Wykładana;
Zuzanka;
Mszańska;
Nachyłkowa;
Poprawna;
Prymulki;
Radoszycka;
Skalmowskiego;Włodzimierza
Szreniawska;
Trocinowa;
Zastowska;
Rowowa;
Platanów;
Natoliński;
Petyhorska;
Rosochata;
Wiechy;
Wilanowski;
Kwitnącej Łąki;
Dobrodzieja;
Ciszewska;
Daleszycka;
Fryszerka;
Łuczek;
Łuki Wielkie;
Pryzmaty;
Stoicka;
Trzos;
Zagadki;
Zarankiewicza;Kazimierza
Berestecka;
Bodzanty;
Klecka;
Przyce;
Siedmiogrodzka;
Sołtyka;Kajetana
Na Bobrku;
Nickla;Józefa
Osiedlowy;
Rymera;Józefa
Żorska;
Siwonia;Franciszka
Miasta Roth;im.
Budzińska;
Wilczok;
Rzuchowska;
Pszowska;
Sudzicka;
Bachusa;
Bartoszycka;
Bielszowicka;
Celulozy;
Czekanowska;
Dychowska;
Dziecięca;
Floksów;
Gąsienicowa;
Glicynii;
Kaczeńca;
Kombajnistów;
Kosaćcowa;
Kosmatki;
Liścienia;
Łozinowa;
Mniszka;
Obszarowa;
Ostów;
Otawska;
Pleciona;
Rusinowska;
Szachowa;
Szczytnowska;
Szymbarska;
Śródborowska;
Truskolaska;
Zgońska;
Hulczyńska;
Mostowy;
Sosienkowa;
Kopca;Marcina
Lasoty;Bartka
Segeta;Alojzego
Tomali;Karola
Pod Widokiem;
Kornowacka;
Pstrązka;
Szturmowskiego;Piotra
Składnicowa;
Sumińska;
Dobry Brat;
Kamierowska;
Kleszczewska;
Kopcowa;
Olszynkowa;
Pogrzebieńska;
Pogwizdowska;
Ciemięgi;Walentego
Borucka;
Kuchelnicka;
Babia Góra;
Zabełkowska;
Frosowa;
Olchy;
Panoramy;
Sikorska;
Smogulecka;
Strzygłowska;
Szalejowa;
Umowna;
Wielowiejska;
Wiesiołka;
Wodyńska;
Wolęcińska;
Wspomnień;
Zasadowa;
Za Dębami;
Sagalli;
Grabalówki;
Hoserów;
Morysin;
Prętowa;
Przedatki;
Przyczółkowa;
Gęślarska;
Gorzkiewki;
Konewki;
Statyczna;
Strubiczów;
Zodiakalna;
Krzemienia;
Łaszczyka;Józefa
Musialika;Feliksa
Planeta;
Tramwajarzy;
Wallisa;Łukasza
Worpie;
Kalidego;Teodora
Kalusa;Józefa
Smołki;Emanuela
Kapuścika;Antoniego
Pośpiecha;Antoniego
Samborowicka;
Bieńkowicka;
Stare Chałupki;
Nad Suminą;
Łuki Małe;
Modularna;
Parowcowa;
Tomnicka;
Wałowicka;
Atlasowa;
Kłosia;Czesława
Garbińskiego;Kajetana
Pustola;
Radzanowska;
Do Niwki;
Alojzjanów;
Holeczków;Franciszka i Wawrzyńca
Jagodnik;
Kolonia Azotów;
Kolonia Okrzei;
Ptakowicka;
Branica;
Witoszy;Ludwika
Cygarowa;
Kobylska;
Lunonautów;
Nowy Zamek;
Odpoczynkowa;
Za Dębiczem;
Zborowa;
Fojcika;Ignacego
Ostrógska;
Gadego;ks. Prałata Bernarda
Brzezka;
Lęgów;
Trulleya;
Niwkowa;
Walcownicza;
Wisienki;
Wyszatycka;
Szafranów;
Droga Golfowa;
Kazita;
Gubinowska;
Latoszki;
Młocarni;
Akurat;
Analityczna;
Czardasza;
Jakobinów;
Janiszowska;
Katalogowa;
Kosmosu;
Łobeska;
Materii;
Milewska;
Płomyka;
Płużańska;
Rezerwowa;
Solipska;
Wszemirowska;
Wykusz;
Zaranie;
Zdobnicza;
Znicz;
Denarowa;
Banderii;
Ciołka;Erazma
Dobrogniewa;
Goleszowska;
Iliady;
Akademicki;
Kossakowskiego;Jana
Koszęcińska;
Lucerny;
Papierowa;
Pomiechowska;
Rogatkowa;
Rościszewska;
Sadulska;
Skalnicowa;
Stawiszyńska;
Wisełki;
Zabielska;
Zbójnogórska;
Zakrętowa;
Marconich;
Rzodkiewki;
Wycieczka;
Nad Wilanówką;
Dukatowa;
Odblask;
Paluch;
Rebusowa;
Sekundowa;
Kozłówki;
Krzyżkowicka;
Chabowiec;
Tworkowska;
Hanowiec;
Krzyżanowska;
Biały Dwór;
Podbiała;
Foliałowa;
Kurzawska;
Łopuszańska;
Podborska;
Potażowa;
Salomejska;
Skibicka;
Świerszcza;
Trapez;
Karatowa;
Armatnia;
Brylowska;
Bielawy;Pawła
Figlarna;
Sezonowa;
Bełkowska;
Biernota;
Markwioka;
Pierchały;
Klimka;
Lesiniec;
Mieszków;
Dworcowa PKP;
Wildek;
Rogol;
Krysta;Jana
Newelska;
